yob,sob,qob,educ,lwage
30,45,1,12,5.790019
30,45,1,11,5.952494
30,45,1,12,5.315949
30,45,1,12,5.595926
30,37,1,12,6.068915
30,45,1,11,5.793871
30,36,1,11,6.389161
30,51,1,12,6.047781
30,45,1,11,5.354861
30,45,1,7,5.259597
30,45,1,10,5.239404
30,45,1,12,5.874553
30,45,1,14,6.001272
30,45,1,12,5.508173
30,13,1,16,5.866414
30,1,1,12,5.729413
30,31,1,16,5.729413
30,13,1,8,5.809437
30,51,1,16,6.657937
30,13,1,9,6.289252
30,45,1,16,6.631926
30,45,1,11,6.092223
30,45,1,3,5.971912
30,45,1,10,5.847161
30,45,1,12,6.239488
30,45,1,12,6.357876
30,17,1,18,6.752745
30,45,1,10,6.047781
30,13,1,11,6.152528
30,45,1,13,4.931287
30,39,1,12,3.883974
30,45,1,12,6.023867
30,36,1,12,5.441835
30,6,1,10,6.332576
30,36,1,6,4.606131
30,25,1,13,6.542389
30,50,1,8,4.502584
30,50,1,16,5.874553
30,50,1,12,4.929898
30,34,1,12,5.455957
30,50,1,12,6.001272
30,50,1,17,6.092223
30,50,1,12,5.499443
30,39,1,6,6.620201
30,39,1,12,6.357876
30,39,1,12,6.047781
30,54,1,12,5.464891
30,54,1,12,6.620201
30,54,1,12,5.760175
30,54,1,12,5.441835
30,54,1,5,5.036578
30,4,1,12,6.288895
30,54,1,9,5.790019
30,54,1,8,5.165335
30,54,1,11,6.175587
30,54,1,8,5.522294
30,54,1,14,5.721887
30,54,1,8,6.465816
30,54,1,11,5.809455
30,54,1,11,3.484194
30,54,1,12,6.351859
30,54,1,8,6.397207
30,54,1,12,4.972081
30,54,1,8,5.32084
30,54,1,7,5.075799
30,54,1,12,5.901214
30,54,1,17,6.105608
30,54,1,12,5.664895
30,54,1,20,7.19918
30,54,1,6,5.116621
30,51,1,13,6.413932
30,54,1,8,5.595926
30,51,1,12,6.252534
30,54,1,12,5.790019
30,54,1,6,3.91452
30,54,1,4,5.658208
30,54,1,12,6.075346
30,54,1,8,5.996763
30,54,1,12,5.47783
30,54,1,12,5.901214
30,54,1,13,6.2148
30,54,1,9,5.521961
30,54,1,12,6.514023
30,54,1,19,5.441835
30,54,1,12,6.175587
30,54,1,12,6.163517
30,54,1,13,5.847161
30,54,1,12,5.336521
30,8,1,16,6.677495
30,54,1,15,5.298817
30,54,1,12,6.037274
30,54,1,12,6.151647
30,54,1,12,5.879942
30,54,1,8,6.134774
30,54,1,10,5.729413
30,54,1,13,5.729413
30,54,1,8,6.05978
30,54,1,11,5.729413
30,54,1,12,5.94949
30,54,1,4,5.501258
30,54,1,6,4.193435
30,54,1,12,6.252904
30,54,1,18,6.39066
30,54,1,8,6.40316
30,21,1,17,5.729413
30,21,1,8,5.574272
30,54,1,8,5.511972
30,54,1,12,6.106466
30,54,1,7,5.657489
30,54,1,13,6.25563
30,21,1,14,5.20833
30,54,1,12,5.015112
30,54,1,12,5.524257
30,21,1,8,5.259597
30,54,1,7,5.790019
30,54,1,12,5.940434
30,39,1,12,5.933976
30,54,1,12,6.512002
30,54,1,8,6.36195
30,54,1,9,5.289349
30,54,1,12,7.050939
30,54,1,9,6.07424
30,51,1,12,6.357876
30,17,1,18,6.132656
30,31,1,8,6.029436
30,31,1,8,5.911682
30,56,1,12,6.512002
30,20,1,12,5.018934
30,56,1,10,6.075096
